id,region,land,group,vote_type,count_type,votes,land_str
3,Steinburg – Dithmarschen Süd,1,buendnisgrundeinkommen,zweitstimmen,endgueltig,415,Schleswig-Holstein
3,Steinburg – Dithmarschen Süd,1,übrige,zweitstimmen,vorperiode,516,Schleswig-Holstein
4,Rendsburg-Eckernförde,1,wahlberechtigte,erststimmen,endgueltig,200831,Schleswig-Holstein
4,Rendsburg-Eckernförde,1,wahlberechtigte,erststimmen,vorperiode,198903,Schleswig-Holstein
4,Rendsburg-Eckernförde,1,wahlberechtigte,zweitstimmen,endgueltig,200831,Schleswig-Holstein
4,Rendsburg-Eckernförde,1,wahlberechtigte,zweitstimmen,vorperiode,198903,Schleswig-Holstein
4,Rendsburg-Eckernförde,1,waehler,erststimmen,endgueltig,157354,Schleswig-Holstein
4,Rendsburg-Eckernförde,1,waehler,erststimmen,vorperiode,149583,Schleswig-Holstein
4,Rendsburg-Eckernförde,1,waehler,zweitstimmen,endgueltig,157354,Schleswig-Holstein
4,Rendsburg-Eckernförde,1,waehler,zweitstimmen,vorperiode,149583,Schleswig-Holstein
4,Rendsburg-Eckernförde,1,ungueltige,erststimmen,endgueltig,1252,Schleswig-Holstein
4,Rendsburg-Eckernförde,1,ungueltige,erststimmen,vorperiode,1743,Schleswig-Holstein
4,Rendsburg-Eckernförde,1,ungueltige,zweitstimmen,endgueltig,1087,Schleswig-Holstein
4,Rendsburg-Eckernförde,1,ungueltige,zweitstimmen,vorperiode,1616,Schleswig-Holstein
4,Rendsburg-Eckernförde,1,gueltige,erststimmen,endgueltig,156102,Schleswig-Holstein
4,Rendsburg-Eckernförde,1,gueltige,erststimmen,vorperiode,147840,Schleswig-Holstein
4,Rendsburg-Eckernförde,1,gueltige,zweitstimmen,endgueltig,156267,Schleswig-Holstein
4,Rendsburg-Eckernförde,1,gueltige,zweitstimmen,vorperiode,147967,Schleswig-Holstein
4,Rendsburg-Eckernförde,1,christlichdemokratischeuniondeutschlands,erststimmen,endgueltig,66625,Schleswig-Holstein
4,Rendsburg-Eckernförde,1,christlichdemokratischeuniondeutschlands,erststimmen,vorperiode,66775,Schleswig-Holstein
4,Rendsburg-Eckernförde,1,christlichdemokratischeuniondeutschlands,zweitstimmen,endgueltig,56585,Schleswig-Holstein
4,Rendsburg-Eckernförde,1,christlichdemokratischeuniondeutschlands,zweitstimmen,vorperiode,60349,Schleswig-Holstein
4,Rendsburg-Eckernförde,1,sozialdemokratischeparteideutschlands,erststimmen,endgueltig,45070,Schleswig-Holstein
4,Rendsburg-Eckernförde,1,sozialdemokratischeparteideutschlands,erststimmen,vorperiode,54397,Schleswig-Holstein
4,Rendsburg-Eckernförde,1,sozialdemokratischeparteideutschlands,zweitstimmen,endgueltig,35766,Schleswig-Holstein
4,Rendsburg-Eckernförde,1,sozialdemokratischeparteideutschlands,zweitstimmen,vorperiode,46658,Schleswig-Holstein
4,Rendsburg-Eckernförde,1,dielinke,erststimmen,endgueltig,8074,Schleswig-Holstein
4,Rendsburg-Eckernförde,1,dielinke,erststimmen,vorperiode,4902,Schleswig-Holstein
4,Rendsburg-Eckernförde,1,dielinke,zweitstimmen,endgueltig,9962,Schleswig-Holstein
4,Rendsburg-Eckernförde,1,dielinke,zweitstimmen,vorperiode,6447,Schleswig-Holstein
4,Rendsburg-Eckernförde,1,bündnis90/diegrünen,erststimmen,endgueltig,13978,Schleswig-Holstein
4,Rendsburg-Eckernförde,1,bündnis90/diegrünen,erststimmen,vorperiode,10306,Schleswig-Holstein
4,Rendsburg-Eckernförde,1,bündnis90/diegrünen,zweitstimmen,endgueltig,19337,Schleswig-Holstein
4,Rendsburg-Eckernförde,1,bündnis90/diegrünen,zweitstimmen,vorperiode,13707,Schleswig-Holstein
4,Rendsburg-Eckernförde,1,freiedemokratischepartei,erststimmen,endgueltig,10077,Schleswig-Holstein
4,Rendsburg-Eckernförde,1,freiedemokratischepartei,erststimmen,vorperiode,2754,Schleswig-Holstein
4,Rendsburg-Eckernförde,1,freiedemokratischepartei,zweitstimmen,endgueltig,19071,Schleswig-Holstein
4,Rendsburg-Eckernförde,1,freiedemokratischepartei,zweitstimmen,vorperiode,8126,Schleswig-Holstein
4,Rendsburg-Eckernförde,1,alternativefuerdeutschland,erststimmen,endgueltig,10656,Schleswig-Holstein
4,Rendsburg-Eckernförde,1,alternativefuerdeutschland,erststimmen,vorperiode,5084,Schleswig-Holstein
